period,Agriculture,Food,Oils & Meals,Grains,Other Food,Fertilizers
2010-01-01,96.2306310835338,98.462004030289,95.4787946614714,98.0389058001327,102.769663645449,92.9509252295826
2010-02-01,93.7210741756762,95.3684029700817,92.8413047278464,93.714022264011,100.19049448025,96.6912308956324
2010-03-01,92.1225759163264,92.5972147401054,91.9798737343666,90.9787023269168,94.8743738046814,95.003246376487
2010-04-01,93.3903668774067,91.7100509849842,92.0041510792209,88.6249831985079,94.1155683622951,92.461119122955
2010-05-01,92.5613537249409,90.3853008630265,90.8112781722834,87.6272044244676,92.3213647763222,88.1806636953884
2010-06-01,92.4464196544729,89.1135755268374,88.6380923149257,81.9568229721274,96.2170179868518,85.4007878737572
2010-07-01,95.728235259047,93.8182388531664,92.6466760626081,89.0403069917281,99.6842620757312,92.2909882513961
2010-08-01,99.7935473389882,99.274724176705,100.585167511295,98.1250307749849,98.5913512261532,98.2605579043281
2010-09-01,103.787654989872,104.654013459274,103.342848912878,109.284379784175,102.187821300551,107.417573345522
2010-10-01,108.71785181426,110.376634070138,109.796663110241,116.433347479651,105.657436498185,112.348596940169
2010-11-01,113.038273107137,113.969825662066,117.003311436255,119.251375431319,105.198419224643,118.159457312588
2010-12-01,118.462016058339,120.270014663326,124.871838276609,126.924918551979,108.192226618887,120.834853052194
2011-01-01,123.849635133183,125.151911541332,130.604426649196,131.580283749773,112.160002335872,120.672604004461
2011-02-01,129.922353420082,129.258133143173,132.229293112589,140.63044813685,115.055696095546,115.476203239659
2011-03-01,125.906246421177,123.629335323473,125.069521793505,134.78163939981,111.640180645075,111.730012859081
2011-04-01,127.459125653756,125.108012708424,123.365482047635,142.908025394714,111.288883051018,110.521399447021
2011-05-01,123.869906520561,123.286193891402,123.025961098449,142.398316501559,106.32931123595,108.355648021359
2011-06-01,122.995244384463,123.308292987508,121.283502477317,141.758408493926,109.272065521222,146.018481693525
2011-07-01,122.653165155986,123.987165577412,121.872747967002,138.6903747644,113.460344823646,153.44880925391
2011-08-01,123.436995911534,125.485496914722,121.887236385887,144.876481764316,112.66769496881,155.853255189669
2011-09-01,121.376889726605,123.275396058963,117.583168530943,142.434185362127,113.422576585572,160.611717021849
2011-10-01,115.338585893242,117.004442205337,109.470580496711,134.920799655467,110.699047904827,160.819432381041
2011-11-01,112.018922304208,116.128920881697,110.182078957548,134.969894511898,106.898740039295,158.789967676368
2011-12-01,109.426365407342,114.004975741243,109.945494767842,128.355617412733,106.356194724395,149.11074290464
2012-01-01,111.133794641127,115.961054383205,113.562990020199,129.395381759965,106.955919897812,138.557762696227
2012-02-01,113.371412241641,119.07022336973,117.047835857695,130.962493836782,110.96663562963,139.326659725825
2012-03-01,114.541224754057,122.542993776614,122.580265891742,132.792129818215,113.21700383566,136.905740687524
2012-04-01,114.746334766793,123.147397892273,129.173677261085,129.661085217164,109.323424927596,154.33703779472
2012-05-01,112.89827279593,120.579944568722,125.24203105,131.711677574985,104.370695217899,161.10366070361
2012-06-01,110.529707330335,119.922532919716,122.189621035642,132.521530465441,105.536043385633,152.753504873046
2012-07-01,118.441238369336,132.116426101392,135.092180244312,153.58440302702,108.769906372069,118.637755993341
2012-08-01,118.07146278186,132.360092159593,137.670197390976,153.689259982166,106.06815496056,140.40886073762
2012-09-01,118.113348961337,131.075576110128,136.653296400705,151.195838729913,105.525800548849,140.677195051465
2012-10-01,114.938557175189,126.458605871946,125.134856870368,151.434957461233,105.592901528354,134.990423028578
2012-11-01,112.557004285664,123.831372586627,119.635277213135,151.860121675568,103.981649269977,138.4240247523
2012-12-01,112.128872276877,122.74680298092,120.168162374206,147.249822977553,103.960461098625,136.617519684789
2013-01-01,111.189532423469,121.253346721427,118.449071512747,144.797079075671,103.63214299719,131.817377638053
2013-02-01,110.020643517197,120.761470185584,118.877805333986,142.854906137502,103.241845020939,136.405022172455
2013-03-01,109.006564997136,120.024647916766,115.267806512953,143.018648278197,105.469817069743,129.714291429397
2013-04-01,106.736086787614,116.430917741813,111.97373059508,136.09231777678,104.498350102957,117.317200848408
2013-05-01,107.08222497419,116.729169965819,109.623783339754,140.02246879747,104.993164155986,123.663710249625
2013-06-01,107.097571063799,117.552574699495,112.791635299739,138.716129932577,104.659953535274,114.447101711921
2013-07-01,104.711172162868,114.420872941026,111.345804475176,132.260759488724,102.318731285612,110.331376534401
2013-08-01,102.608772763093,110.288291136276,109.274833530886,120.839258181191,102.071434768773,107.225778728063
2013-09-01,102.603899123638,109.84644668409,115.197254540264,111.463326449555,101.343441653795,102.139225057336
2013-10-01,102.861792424656,110.080629525383,115.304688644174,111.863413356051,101.594207211673,98.3130992633355
2013-11-01,102.057499119659,109.16255890239,116.90825450589,109.169060865246,98.9664778482221,99.749110902631
2013-12-01,102.200498727466,108.566758177579,117.063704470189,107.936808429629,97.958416850033,101.249742978734
2014-01-01,100.964639958832,106.522670078329,113.500866315966,106.35800902215,97.4912344600494,105.665264476453
2014-02-01,103.206438888486,108.287277138258,113.122906744841,111.308787541231,99.1906433714191,105.609427886548
