period,Palm oil,Sunflower oil,Maize,Wheat,date_popup
2017-11-01,728.86,809.86,148.7047464,179.6765463,2017-11-01
2017-12-01,679.17,800.76,148.9803224,184.0857867,2017-12-01
2018-01-01,703.45,799.04,155.838228,192.1693941,2018-01-01
2018-02-01,709.44,806,163.357516,192.1693941,2018-02-01
2018-03-01,706.19,800.91,171.998792,192.1693941,2018-03-01
2018-04-01,701.18,799.33,175.6049008,213.8481594,2018-04-01
2018-05-01,687.15,801.32,179.085032,213.8481594,2018-05-01
2018-06-01,656.5,775,165.070024,219.3597099,2018-06-01
2018-07-01,616.14,780.05,156.4602424,218.2573998,2018-07-01
2018-08-01,614.75,763.23,162.373316,236.6292348,2018-08-01
2018-09-01,605.15,733.95,154.8028496,212.3784126,2018-09-01
2018-10-01,589.8,718.04,160.2553176,213.4807227,2018-10-01
2018-11-01,539.1,706.09,160.6883656,203.5599318,2018-11-01
2018-12-01,535.02,703,167.4399776,211.2761025,2018-12-01
2019-01-01,584.58,688.13,166.743164,209.8063557,2019-01-01
2019-02-01,602.97,700,169.5225448,218.9922732,2019-02-01
2019-03-01,573.02,711.71,166.2235064,205.764552,2019-03-01
2019-04-01,588.45,713,161.487536,199.5181281,2019-04-01
2019-05-01,564.4,721.57,171.0815176,199.5181281,2019-05-01
2019-06-01,552.19,725,195.0802504,206.1319887,2019-06-01
2019-07-01,543.88,753.83,189.419132,196.2111978,2019-07-01
2019-08-01,586.12,776,163.5858504,181.1462931,2019-08-01
2019-09-01,580.3,776,157.2594128,189.5973372,2019-09-01
2019-10-01,591.35,776,167.1486544,199.5181281,2019-10-01
2019-11-01,685.41,776,166.3337368,203.1924951,2019-11-01
2019-12-01,763.73,776,166.9557512,210.9086658,2019-12-01
2020-01-01,810.07,806.91,171.7862048,224.5038237,2020-01-01
2020-02-01,728.81,823,168.711564,215.3179062,2020-02-01
2020-03-01,636.25,730,162.4205576,209.0714823,2020-03-01
2020-04-01,608.88,732.1,146.9095656,218.9922732,2020-04-01
2020-05-01,576.56,738.26,143.9057872,205.764552,2020-05-01
2020-06-01,656.49,788.36,147.9882488,198.415818,2020-06-01
2020-07-01,694.16,833.17,152.5549368,222.13,2020-07-01
2020-08-01,760.3,877.14,149.342508,223,2020-08-01
2020-09-01,796.22,982.38482384824,166.0817816,247.68,2020-09-01
2020-10-01,819.27,981.40243902439,186.7460448,272.36,2020-10-01
2020-11-01,917.81,1109.11246612466,190.3757744,273,2020-11-01
2020-12-01,1016.37389145497,1170.02032520325,198.769032,268.55,2020-12-01
2021-01-01,990.27,1276.11788617886,234.4679501472,289.3,2021-01-01
2021-02-01,1019.86,1362.56775067751,245.2350824,289.4,2021-02-01
2021-03-01,1030.48,1611.11111111111,245.1720936,273.13,2021-03-01
2021-04-01,1078.05,1572.79810298103,268.233868,280.95,2021-04-01
2021-05-01,1136.46,1584.58672086721,305.3106504,297.25,2021-05-01
2021-06-01,1004.42,1296.74796747967,292.5593552,285.55,2021-06-01
2021-07-01,1062.99,1282.01219512195,278.4341168,294.27,2021-07-01
2021-08-01,1141.82,1355.69105691057,256.6124344,324.52,2021-08-01
2021-09-01,1181.38,1309.5189701897,235.61748,337.55,2021-09-01
2021-10-01,1310.25,1420.52845528455,239.6487632,354.67,2021-10-01
2021-11-01,1340.65,1415.61653116531,248.7191504,379.45,2021-11-01
2021-12-01,1270.29,1361.83096205962,264.5372128,376.81,2021-12-01
2022-01-01,1344.79,1411.73,276.6231888,374.24,2022-01-01
2022-02-01,1522.36,1499.12,292.622344,390.5,2022-02-01
2022-03-01,1776.96,2361.13,335.5295272,486.3,2022-03-01
2022-04-01,1682.74,2275.76,348.1666552,495.28,2022-04-01
2022-05-01,1716.92,2079.3,344.8400592,522.29,2022-05-01
2022-06-01,1501.1,1884.59,335.7145568,459.59,2022-06-01
2022-07-01,1056.64,1556.87,322.9671984,382.5,2022-07-01
2022-08-01,1025.95,1496.22,289.8350896,382.86,2022-08-01
2022-09-01,909.32,1304.75,312.6567192,419.14,2022-09-01
2022-10-01,888.99,1359.15,343.5566624,437.95,2022-10-01
2022-11-01,945.74,1347.28,320.9200624,422.68,2022-11-01
2022-12-01,940.39,1233.8,302.24782,386.33,2022-12-01
2023-01-01,941.97,1218.34,302.7753512,380.36,2023-01-01
2023-02-01,949.98,1158.6,298.1771688,394.75,2023-02-01
2023-03-01,972.06,1075.05,282.4890208,369.86,2023-03-01
2023-04-01,1005.24,1034.83,291.1145496,378.18,2023-04-01
2023-05-01,934.06,961.79,268.135448,367.74,2023-05-01
2023-06-01,816.97,910.95,266.8677984,345.5,2023-06-01
2023-07-01,878.5,1038.8,242.3848392,345.5,2023-07-01
2023-08-01,860.82,989.42,207.607148,315.82,2023-08-01
2023-09-01,829.6,894.81,223.80708,314.68,2023-09-01
2023-10-01,804.26,910.17,230.69648,298.1,2023-10-01
2023-11-01,830.47,943.6,211.2604984,283.55,2023-11-01
2023-12-01,813.51,944.03,206.54803944445,291.12,2023-12-01
2024-01-01,844.9,943.36,198.62480884615,283.91,2024-01-01
2024-02-01,856.93,925.08,189.128793,278.5,2024-02-01
2024-03-01,942.92,950.93,190.56700446,274.83,2024-03-01
2024-04-01,935.69,971.27,191.65107888889,272.3,2024-04-01
2024-05-01,859.15,1005.73,197.79344375,289.42,2024-05-01
2024-06-01,873.67,1043.05,192.506708,265.55,2024-06-01
2024-07-01,896.09,1068.51,177.42921392,260.26,2024-07-01
2024-08-01,932.63,1048.56,170.32475727273,250.85,2024-08-01
2024-09-01,982.83,1068,184.9671542069,269.69,2024-09-01
2024-10-01,1077.25,1205.71,190.33572173913,272.85,2024-10-01
2024-11-01,1168.58791,1267,201.33106,253.75,2024-11-01
2024-12-01,1189.73208472222,1222.5,202.59757,252.17,2024-12-01
