country,phase_2,period_start,period_end,source
DR Congo,47192223,Jan 2023,Jun 2023,IPC
Nigeria,40577711,Oct 2022,Dec 2022,CH
South Africa,18362327,Jan 2021,Mar 2021,IPC
Sudan,17746553,Oct 2022,Feb 2023,IPC
Afghanistan,14300733,Nov 2022,Mar 2023,IPC
Mozambique,12679290,Oct 2022,Mar 2023,IPC
Yemen,9033000,Oct 2022,Dec 2022,IPC
Guatemala,7622722,Oct 2022,Feb 2023,IPC
Cameroon,6768449,Oct 2022,Dec 2022,CH
Malawi,6679662,Oct 2022,Mar 2023,IPC
Zambia,6601009,Oct 2022,Mar 2023,IPC
Pakistan,6235537,Sep 2022,Dec 2022,IPC
Ethiopia,5998032,Jul 2021,Sep 2021,IPC
Niger,5421547,Oct 2022,Dec 2022,CH
Kenya,5109606,Oct 2022,Dec 2022,IPC
Senegal,4970959,Oct 2022,Dec 2022,CH
