Week,Food Price Crisis[2008],Covid-19 [2020],Russia's war in Ukraine [2022]
1,6.848191683,0.0,5.024593041
2,6.848191683,0.0,5.023315358
3,6.848191683,0.0,5.023315358
4,3.764983619,0.0,5.131173409
5,3.764983619,0.0,5.575779102
6,5.82034055,0.0,5.575779102
7,5.923461284,0.0,5.575779102
8,5.923461284,0.0,5.575779102
9,6.879254181,0.0,6.225329447
10,6.892646216,0.0,10.92839221
11,6.892646216,0.0,15.94352339
12,6.896818933,0.136248378,15.96393324
13,6.896818933,0.480385647,16.01239299
14,17.15796678,4.458761264,16.01239299
15,17.15796678,6.467550876,17.03416625
16,10.71948613,7.031311219,
17,10.71948613,7.023811098,
18,10.74999,7.756385887,
19,10.75584929,7.746959917,
20,11.86449501,7.413761611,
21,11.86374264,6.639120205,
22,11.86374264,6.59141383,
23,11.86447701,6.59141383,
24,11.86469367,4.576279834,
25,11.86469367,4.358739917,
26,11.66620865,4.358739917,
27,11.67861849,4.358739917,
28,11.77995141,0.315288703,
29,11.77995141,0.315288703,
30,11.77995141,0.314515583,
31,11.77995141,0.314515583,
32,11.98410903,0.314515583,
33,11.98410903,0.314515583,
34,11.98410903,0.314515583,
35,11.98410903,0.314515583,
36,11.91959606,0.275837628,
37,11.91959606,0.260165165,
38,11.91924483,0.260165165,
39,11.91924483,0.260165165,
40,11.91924483,0.258736976,
41,11.92138344,0.122488598,
42,11.82077483,0.122488598,
43,11.32676391,0.122488598,
44,11.32676391,0.122488598,
45,11.32860155,0.122488598,
46,11.32860155,0.122488598,
47,11.3161917,0.122488598,
48,11.31619053,0.122488598,
49,11.31619053,0.122488598,
50,11.31619053,0.122488598,
51,11.31619053,0.122488598,
