iso_code,country_name,year,value,gdp_per_capita,continent
COL,Colombia,2020,11.5,6806.523,
CHN,China,2020,4.7,14096.235,
CHL,Chile,2020,1.6,15941.341,
TCD,Chad,2020,35.0,742.943,Africa
CAF,Central African Republic,2020,40.1,527.215,Africa
CMR,Cameroon,2020,27.2,1637.768,Africa
KHM,Cambodia,2020,29.9,1751.985,
CPV,Cabo Verde,2020,9.7,3502.981,Africa
BDI,Burundi,2020,57.6,272.355,Africa
BFA,Burkina Faso,2020,25.5,885.941,Africa
BGR,Bulgaria,2020,6.4,13101.479,
BRN,Brunei Darussalam,2020,12.7,79816.308,
BRA,Brazil,2020,6.1,8570.276,
BWA,Botswana,2020,22.8,7519.206,Africa
BIH,Bosnia and Herzegovina,2020,9.1,6725.58,
BOL,Bolivia,2020,12.7,3430.765,
BTN,Bhutan,2020,22.4,3491.268,
BEN,Benin,2020,31.3,1432.302,Africa
BLZ,Belize,2020,13.3,4519.823,
BEL,Belgium,2020,2.3,52484.57,
BLR,Belarus,2020,3.9,6384.266,
BRB,Barbados,2020,6.6,19110.462,
BGD,Bangladesh,2020,30.2,2361.984,
BHR,Bahrain,2020,5.1,29103.363,
AZE,Azerbaijan,2020,16.3,7164.546,
AUS,Australia,2020,2.1,67464.386,
ARM,Armenia,2020,9.1,4741.429,
ARG,Argentina,2020,7.8,12187.297,
AGO,Angola,2020,37.7,3792.754,Africa
DZA,Algeria,2020,9.3,4294.418,Africa
ALB,Albania,2020,9.6,6259.602,
AFG,Afghanistan,2020,35.1,611.268,
