country,phase_5,period_start,period_end,source
Ethiopia,401313,Jul 2021,Sep 2021,IPC
Somalia,213180,Jun 2022,Sep 2022,IPC
Yemen,161000,Jun 2022,Dec 2022,IPC
South Sudan,87000,Apr 2022,Jul 2022,IPC
Sierra Leone,0,Jun 2022,Aug 2022,CH
Mauritania,0,Jun 2022,Aug 2022,CH
Malawi,0,Jan 2022,Mar 2022,IPC
Namibia,0,Dec 2021,Mar 2022,IPC
Niger,0,Jun 2022,Aug 2022,CH
Nigeria,0,Jun 2022,Aug 2022,CH
Pakistan,0,Apr 2022,Jun 2022,IPC
Sudan,0,Jun 2022,Sep 2022,IPC
Senegal,0,Jun 2022,Aug 2022,CH
Afghanistan,0,Jun 2022,Nov 2022,IPC
El Salvador,0,Mar 2022,May 2022,IPC
Mali,0,Jun 2022,Aug 2022,CH
