from_date,to_date,source,phase_1,phase_2,phase_3,phase_4,phase_5,country_name,iso_code,phase_3plus
Nov 2022,Mar 2023,IPC,8895869,14300733,13823864,6080130,0,Afghanistan,AFG,19903994
Oct 2021,Mar 2022,IPC,482825,683303,1167337,416660,0,Angola,AGO,1583997
Oct 2022,Dec 2022,IPC,6981059,3660306,1353231,50637,0,Burundi,BDI,1403868
Oct 2022,Dec 2022,CH,6534986,1039495,181584,0,0,Benin,BEN,181584
Oct 2022,Dec 2022,CH,14933877,4675064,2275170,341650,1817,Burkina Faso,BFA,2618637
Apr 2023,Aug 2023,IPC,1235525,1865230,2183556,806785,0,Central African Republic,CAF,2990341
Oct 2022,Dec 2022,CH,16810857,3395450,812942,36391,0,Cote d'Ivoire,CIV,849333
Oct 2022,Dec 2022,CH,16825442,6768449,3356781,240233,0,Cameroon,CMR,3597014
Jan 2023,Jun 2023,IPC,31259083,47192223,21707327,2813131,0,DR Congo,COD,24520458
Jun 2022,Aug 2022,CH,299473,138062,43003,3090,0,Cabo Verde,CPV,46093
Jul 2022,Dec 2022,IPC,574741,414767,179778,12390,0,Djibouti,DJI,192168
Mar 2023,Jun 2023,IPC,6031996,3376745,1159547,53651,0,Dominican Republic,DOM,1213198
Jul 2021,Sep 2021,IPC,6364779,5998032,4558999,2425979,401313,Ethiopia,ETH,7386291
Oct 2022,Dec 2022,CH,10253490,2598846,794119,28983,0,Ghana,GHA,823102
Oct 2022,Dec 2022,CH,8485903,2334622,649159,0,0,Guinea,GIN,649159
Oct 2022,Dec 2022,CH,1651834,584750,201062,6604,0,Gambia,GMB,207666
Oct 2022,Dec 2022,CH,1308630,267590,112034,0,0,Guinea-Bissau,GNB,112034
Oct 2022,Feb 2023,IPC,6740346,7622722,3111434,127928,0,Guatemala,GTM,3239362
Jun 2022,Aug 2022,IPC,3233689,3719811,2291044,353195,0,Honduras,HND,2644239
Mar 2023,Jun 2023,IPC,2378323,2816900,3038489,1653839,19206,Haiti,HTI,4711534
Oct 2022,Dec 2022,IPC,5370418,5109606,3142733,1211812,0,Kenya,KEN,4354545
Jun 2022,Aug 2022,IPC,181738,185368,126420,21869,0,LAC,LAC,148289
Jan 2023,Apr 2023,IPC,961000,2143000,1906000,354000,0,Lebanon,LBN,2260000
Oct 2022,Dec 2022,CH,3406982,1019566,365748,7483,0,Liberia,LBR,373231
Oct 2022,Mar 2023,IPC,654668,511048,319429,0,0,Lesotho,LSO,319429
Apr 2023,Jul 2023,IPC,1922539,2772325,1485083,50131,0,Madagascar,MDG,1535214
Oct 2022,Dec 2022,CH,18926982,2734725,616820,14864,0,Mali,MLI,631684
Oct 2022,Mar 2023,IPC,16026000,12974000,2748872,397551,0,Mozambique,MOZ,3146423
Oct 2022,Dec 2022,CH,3034712,896560,384644,56121,0,Mauritania,MRT,440765
Oct 2022,Mar 2023,IPC,8815301,6679662,3822502,0,0,Malawi,MWI,3822502
Apr 2023,Jun 2023,IPC,1500769,855916,233746,5607,0,Namibia,NAM,239353
Oct 2022,Dec 2022,CH,18430810,5421547,1965475,78857,0,Niger,NER,2044332
Oct 2022,Dec 2022,CH,136042865,40577711,16283809,789497,2975,Nigeria,NGA,17076281
Sep 2022,Dec 2022,IPC,4931133,6235537,6027992,2591242,0,Pakistan,PAK,8619234
Oct 2022,Feb 2023,IPC,22396097,17746553,6189076,1549705,0,Sudan,SDN,7738781
Oct 2022,Dec 2022,CH,12428620,4970959,846467,29671,0,Senegal,SEN,876138
Oct 2022,Dec 2022,CH,4824437,1929338,787646,0,0,Sierra Leone,SLE,787646
Mar 2022,May 2022,IPC,2132030,3286974,845944,60879,0,El Salvador,SLV,906823
Apr 2023,Jun 2023,IPC,5324050,3353420,4818200,2732370,727100,Somalia,SOM,8277670
Apr 2023,Jul 2023,IPC,1530000,3080000,4822000,2899000,43000,South Sudan,SSD,7764000
Oct 2022,Mar 2023,IPC,477240,438476,221770,37031,0,Eswatini,SWZ,258801
Oct 2022,Dec 2022,CH,12941541,2481694,809237,0,0,Chad,TCD,809237
Oct 2022,Dec 2022,CH,4124806,1362819,533348,35313,0,Togo,TGO,568661
Nov 2022,Apr 2023,IPC,459722,581191,286372,13149,0,Timor-Leste,TLS,299521
Mar 2023,May 2023,IPC,6013559,3759399,990097,0,0,Tanzania,TZA,990097
Sep 2022,Jan 2023,IPC,3792835,2553245,1050595,50925,0,Uganda,UGA,1101520
Oct 2022,Dec 2022,IPC,6091500,9033000,10832000,6079500,0,Yemen,YEM,16911500
Jan 2021,Mar 2021,IPC,29966227,18362327,9598771,2197177,0,South Africa,ZAF,11795948
Oct 2022,Mar 2023,IPC,4937182,6601009,1952123,0,0,Zambia,ZMB,1952123
Jan 2021,Mar 2021,IPC,3221153,3104734,2611638,768594,0,Zimbabwe,ZWE,3380232
