period,Palm oil,Soybean oil,Rapeseed oil,Sunflower oil,Coconut oil
2010-01-01,830.88,920.55,914.09,968.0,784.0
2010-02-01,830.0,909.19,900.93,948.0,798.0
2010-03-01,862.83,911.07,910.08,949.0,921.0
2010-04-01,862.71,902.83,909.13,924.0,940.0
2010-05-01,855.31,859.49,862.49,910.0,932.0
2010-06-01,825.68,860.28,876.07,889.0,993.0
2010-07-01,844.43,910.82,946.76,937.0,1031.0
2010-08-01,943.73,997.62,1012.94,1074.0,1170.0
2010-09-01,948.88,1035.26,1032.57,1114.0,1275.0
2010-10-01,1025.83,1146.75,1149.51,1284.0,1412.0
2010-11-01,1131.36,1231.69,1242.32,1441.0,1512.0
2010-12-01,1234.64,1324.72,1382.99,1454.0,1715.0
2011-01-01,1303.57,1365.73,1440.75,1492.0,2038.0
2011-02-01,1327.21,1359.86,1403.14,1704.74,2256.0
2011-03-01,1241.74,1306.53,1411.8,1636.96,1925.0
2011-04-01,1219.61,1310.45,1447.42,1634.05,2089.0
2011-05-01,1230.12,1296.03,1406.76,1644.09,2097.0
2011-06-01,1192.38,1319.38,1401.82,1699.32,1803.0
2011-07-01,1183.45,1337.36,1392.95,1672.38,1662.0
2011-08-01,1205.48,1328.39,1350.5,1671.3,1454.0
2011-09-01,1137.25,1307.85,1309.99,1591.59,1305.0
2011-10-01,1044.75,1223.1,1270.51,1483.81,1208.0
2011-11-01,1113.38,1213.96,1273.54,1502.5,1479.0
2011-12-01,1121.5,1203.28,1244.66,1439.77,1445.0
2012-01-01,1123.5,1216.28,1252.78,1451.82,1451.0
2012-02-01,1146.25,1249.12,1287.68,1485.0,1411.0
2012-03-01,1195.34,1285.38,1289.12,1500.68,1338.0
2012-04-01,1233.61,1308.89,1303.59,1551.9,1348.0
2012-05-01,1125.0,1220.55,1234.88,1522.17,1155.0
2012-06-01,1027.74,1181.93,1183.37,1430.48,1058.0
2012-07-01,1052.84,1239.49,1214.67,1472.27,1070.0
2012-08-01,1022.38,1250.27,1230.73,1525.43,1001.0
2012-09-01,1001.38,1280.95,1268.69,1572.25,967.0
2012-10-01,886.0,1177.95,1214.2,1302.61,898.0
2012-11-01,863.18,1137.78,1184.61,1285.23,848.0
2012-12-01,843.55,1158.64,1188.18,1271.9,785.0
2013-01-01,884.52,1192.35,1210.92,1298.48,828.64
2013-02-01,919.58,1173.48,1216.99,1285.75,853.25
2013-03-01,891.5,1117.43,1161.66,1249.76,818.75
2013-04-01,874.17,1094.52,1131.82,1221.14,791.43
2013-05-01,879.47,1073.2,1116.66,1227.73,822.5
2013-06-01,876.88,1037.75,1147.34,1245.25,890.63
2013-07-01,827.09,990.31,1008.78,1210.87,860.43
2013-08-01,819.29,994.65,993.85,1111.67,892.61
2013-09-01,826.25,1019.72,983.52,1005.71,985.24
2013-10-01,859.66,990.96,1010.85,1008.48,985.65
2013-11-01,904.05,989.83,1021.7,1004.05,1274.5
2013-12-01,886.25,990.52,1007.11,996.0,1270.0
2014-01-01,862.63,942.1,948.01,951.82,1269.09
2014-02-01,904.34,970.96,971.77,953.0,1364.0
2014-03-01,953.81,996.67,1009.95,984.76,1389.05
2014-04-01,926.63,1001.69,1011.42,952.25,1356.13
2014-05-01,898.42,961.81,954.94,951.5,1413.25
2014-06-01,861.88,925.82,948.33,942.38,1393.25
2014-07-01,853.69,897.43,892.08,908.04,1255.22
2014-08-01,778.69,861.77,851.75,853.75,1187.62
2014-09-01,760.75,839.82,836.46,834.09,1193.41
2014-10-01,764.4,833.03,859.11,888.26,1148.7
2014-11-01,764.75,825.98,841.33,922.75,1191.63
2014-12-01,719.64,814.55,814.81,900.95,1212.14
2015-01-01,719.64,796.58,777.72,870.71,1145.71
2015-02-01,723.04,762.61,762.51,825.0,1160.5
2015-03-01,698.86,749.93,751.16,804.55,1090.68
2015-04-01,682.75,747.74,747.72,833.5,1077.5
2015-05-01,697.35,785.13,769.95,916.05,1131.94
2015-06-01,705.91,788.21,841.79,927.95,1123.64
2015-07-01,680.0,752.32,809.98,917.39,1103.04
2015-08-01,601.38,728.33,753.56,894.75,1032.38
2015-09-01,599.5,720.4,771.69,896.82,1051.59
2015-10-01,636.67,743.3,809.13,961.59,1104.09
2015-11-01,608.21,727.34,799.62,915.24,1071.07
2015-12-01,607.38,765.7,820.94,898.18,1150.0
2016-01-01,611.63,736.03,781.35,885.35,1152.0
2016-02-01,679.17,767.24,779.88,898.19,1218.93
2016-03-01,715.95,765.61,766.26,859.19,1440.48
2016-04-01,775.0,794.13,808.51,875.95,1580.95
2016-05-01,753.42,795.64,805.59,881.0,1439.5
2016-06-01,718.18,799.91,793.48,860.23,1547.95
2016-07-01,678.16,796.67,767.83,832.86,1515.0
2016-08-01,771.02,824.42,817.52,830.35,1575.0
2016-09-01,797.85,837.21,849.65,865.73,1557.39
2016-10-01,749.75,861.26,914.14,873.0,1473.57
2016-11-01,766.93,885.11,918.26,873.0,1553.41
2016-12-01,811.38,916.7,930.43,873.0,1727.14
2017-01-01,825.0,876.85,890.82,873.0,1818.64
2017-02-01,808.61,839.6,874.38,873.0,1688.25
2017-03-01,778.7,814.94,847.32,835.17,1542.39
2017-04-01,752.06,794.04,839.33,797.67,1589.72
2017-05-01,762.75,825.06,842.05,795.0,1719.29
2017-06-01,735.14,832.95,847.47,794.36,1869.76
2017-07-01,720.48,835.6,905.99,793.0,1644.05
2017-08-01,717.95,861.72,875.36,815.74,1845.0
2017-09-01,754.25,889.44,872.87,822.24,1600.95
2017-10-01,746.79,880.6,897.25,804.82,1484.77
