period,Palm oil,Soybean oil,Rapeseed oil,Sunflower oil,Coconut oil
2017-11-01,728.86,886.77,962.98,809.86,1554.32
2017-12-01,679.17,867.19,901.97,800.76,1450.66
2018-01-01,703.45,870.5,848.38,799.04,1393.86
2018-02-01,709.44,843.56,827.48,806.0,1244.25
2018-03-01,706.19,836.68,800.24,800.91,1118.63
2018-04-01,701.18,831.85,793.31,799.33,1131.18
2018-05-01,687.15,793.25,811.49,801.32,1027.75
2018-06-01,656.5,788.57,838.02,775.0,931.19
2018-07-01,616.14,780.45,848.61,780.05,916.25
2018-08-01,614.75,761.82,853.67,763.23,915.22
2018-09-01,605.15,754.05,821.47,733.95,897.13
2018-10-01,589.8,751.58,850.29,718.04,830.25
2018-11-01,539.1,729.22,840.39,706.09,759.26
2018-12-01,535.02,727.88,827.02,703.0,796.27
2019-01-01,584.58,747.79,859.73,688.13,773.07
2019-02-01,602.97,772.82,829.7,700.0,710.43
2019-03-01,573.02,750.33,808.68,711.71,678.56
2019-04-01,588.45,733.77,805.96,713.0,668.63
2019-05-01,564.4,742.53,815.84,721.57,661.17
2019-06-01,552.19,742.89,840.01,725.0,635.6
2019-07-01,543.88,748.17,845.27,753.83,657.31
2019-08-01,586.12,793.21,877.48,776.0,719.28
2019-09-01,580.3,779.25,903.07,776.0,724.03
2019-10-01,591.35,770.8,908.67,776.0,719.52
2019-11-01,685.41,770.2,891.17,776.0,848.92
2019-12-01,763.73,833.52,900.66,776.0,1031.29
2020-01-01,810.07,875.64,945.39,806.91,1003.72
2020-02-01,728.81,800.41,902.34,823.0,844.12
2020-03-01,636.25,747.8,796.67,730.0,837.72
2020-04-01,608.88,679.98,758.96,732.1,834.51
2020-05-01,576.56,684.78,799.83,738.26,832.33
2020-06-01,656.49,755.71,850.98,788.36,916.38
2020-07-01,694.16,821.11,890.21,833.17,888.31
2020-08-01,760.3,866.94,921.55,877.14,981.3
2020-09-01,796.22,905.86,938.14,982.384823848239,1034.18
2020-10-01,819.27,914.77,927.71,981.40243902439,1118.36
2020-11-01,917.81,973.88,1047.78,1109.11246612466,1368.95
2020-12-01,1016.37389145497,1026.1958677686,1097.62584466019,1170.02032520325,1464.96456977585
2021-01-01,990.27,1098.67,1141.24,1276.11788617886,1463.07
2021-02-01,1019.86,1123.5,1272.13,1362.56775067751,1444.5
2021-03-01,1030.48,1284.81,1321.88,1611.11111111111,1540.65
2021-04-01,1078.05,1386.35,1312.33,1572.79810298103,1659.64
2021-05-01,1136.46,1574.67,1531.38,1584.58672086721,1715.24
2021-06-01,1004.42,1518.16,1527.59,1296.74796747967,1670.68
2021-07-01,1062.99,1468.34,1410.08,1282.01219512195,1584.09
2021-08-01,1141.82,1433.94,1519.19,1355.69105691057,1493.64
2021-09-01,1181.38,1398.75,1629.14,1309.5189701897,1485.0
2021-10-01,1310.25,1483.52,1795.17,1420.52845528455,1922.86
2021-11-01,1340.65,1442.96,1825.34,1415.61653116531,1960.68
2021-12-01,1270.29,1411.21,1742.5,1361.83096205962,1695.71
2022-01-01,1344.79,1469.56,1865.36,1411.73,2016.14
2022-02-01,1522.36,1595.74,1744.2,1499.12,2147.89
2022-03-01,1776.96,1956.88,2162.3,2361.13,2230.22
2022-04-01,1682.74,1947.51,2266.17,2275.76,2094.61
